Date,Host,Service,Content
"2026-03-31T18:56:53.995Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T18:56:53.988Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T18:56:53.962Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:56:53.962Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:56:53.960Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T18:56:23.748Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T18:56:23.748Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T18:56:23.743Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T18:56:23.724Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:56:23.720Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:56:23.711Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T18:55:53.525Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T18:55:53.525Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T18:55:53.521Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T18:55:53.492Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:55:53.486Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
"2026-03-31T18:55:53.481Z","i-0d80a82297acd2637","protocols/base-proofs","discovered prover instances"
"2026-03-31T18:55:23.262Z","i-0d80a82297acd2637","protocols/base-proofs","signer appears in getRegisteredSigners but isRegisteredSigner is false, skipping (possible EnumerableSet ghost entry)"
"2026-03-31T18:55:23.262Z","i-0d80a82297acd2637","protocols/base-proofs","orphan deregistration complete"
"2026-03-31T18:55:23.248Z","i-0d80a82297acd2637","protocols/base-proofs","deregistering orphan signers"
"2026-03-31T18:55:23.185Z","i-0d80a82297acd2637","protocols/base-proofs","requesting attestations with nonce"
